news_headline,news_article,news_category
WHO approves Johnson & Johnson COVID-19 vaccine for emergency use listing,"WHO on Friday listed Johnson & Johnson COVID-19 vaccine for emergency use in all countries. ""Today, WHO gave emergency use listing to Johnson & Johnson's #COVID19 vaccine, making it...fourth vaccine to receive WHO's approval. Emergency use listing is the green light for a vaccine to be procured and rolled out by #COVAX,"" WHO tweeted while quoting Director-General Tedros Adhanom Ghebreyesus.","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
No reason to stop using Oxford vaccine: WHO as countries halt rollout,"The World Health Organization (WHO) on Friday said there was no reason to stop using Oxford-AstraZeneca's COVID-19 vaccine after several European countries suspended its rollout over blood clot fears. It said no causal link has been established between the vaccine and clotting. ""AstraZeneca is an excellent vaccine,"" said WHO spokeswoman Margaret Harris, adding that its use should continue. ","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
Which countries have halted the use of Oxford COVID-19 vaccine?,"Denmark, Norway and Iceland temporarily suspended Oxford-AstraZeneca COVID-19 vaccine use after reports of blood clots among some people who received it. Italy, Austria, Estonia, Latvia, Lithuania, Luxembourg and Romania stopped using certain batches of the drug as a precautionary measure. The EU's medicine regulator said there's no indication the vaccine is linked to an increased blood clot risk.","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
"We're united by democratic values: PM at 1st Quad summit with Prez Biden, others","Prime Minister Narendra Modi on Friday while speaking during the first summit of the Quad group of nations said, ""We are united by our democratic values and our commitment to a free, open and inclusive Indo-Pacific."" The virtual summit was attended by the three other Quad leaders- US President Joe Biden, Australian PM Scott Morrison and Japanese PM Yoshihide Suga.","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
"India, China hold talks to address remaining issues in Ladakh","India and China on Friday held ""in-depth"" diplomatic talks to address the remaining issues along the Line of Actual Control (LAC) in eastern Ladakh. The two countries also agreed that in the interim they should continue to maintain stability at ground level and prevent any untoward incident, the Ministry of External Affairs (MEA) said in a statement.","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
"Chaos in Pak Senate after 'spy cameras' discovered during voting, video surfaces","There was a massive uproar in Pakistan Senate, the Upper House of the Parliament, on Friday during voting for the Senate Chairman and Deputy Chairman post. It was reported that hidden Chinese spy cameras were discovered inside the Senate hall while the voting process was underway. This led many MPs to cause an uproar and the voting process was disrupted.","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
Considering running for Texas Governor: Matthew McConaughey ,"American actor and filmmaker Matthew McConaughey has revealed that he's ""seriously considering"" a run for Texas Governor. McConaughey has said that he is thinking it over and it may be what he wants to do with the next chapter of his life. In November last year, McConaughey had hinted at joining politics if there was a demand for it. ","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
WHO urges nations to closely monitor adverse effects of vaccines,"WHO has urged nations to closely monitor adverse health effects related to the use of any vaccine. ""WHO encourages all countries to...carefully monitor for any adverse events...and to report any serious cases...to global AEFI surveillance database,"" a WHO spokesperson said. This comes as several EU nations halted AstraZeneca COVID-19 jab use after reports of blood clots among vaccinated people.","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
US rejects reports of ban on exports of COVID-19 vaccines,"The White House said that it hasn't imposed any rules to prohibit the export of coronavirus vaccines. This comes after several reports stated that US told the European Union that it shouldn't expect AstraZeneca vaccine shipments anytime soon. ""All vaccine manufacturers...are free to export their products while also fulfilling the terms of their contracts with the US government,"" it added. ","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
"Iran to get 5,00,000 COVID-19 vaccine doses from India","Iran will receive five lakh doses of coronavirus vaccine COVAXIN from India, of which 1.25 lakh doses have already been received by the country. ""A tradition of exchanges continues. Made in India vaccines arrive in Iran,"" External Affairs Minister S Jaishankar tweeted on Thursday. Iran's health ministry spokesperson Kianush Jahanpur said that it'll receive 3.75 lakh doses next week.","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
COVID-19 may have emerged from wildlife trade in China: WHO team,"The WHO scientists, who travelled to China to probe the COVID-19 pandemic's origins, have said there's no evidence that COVID-19 leaked from a Chinese laboratory in Wuhan. They said, instead, the pandemic may've been caused by unfettered wildlife trade in China. The scientists found links between Wuhan's live-animal market, where people first fell ill, and regions where bats had viruses.","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
Russia says it faced Google outage after fire in France data centre; Google responds,"Russia experienced Google outage on Wednesday, following which Russian agency Roskomnadzor claimed the outage was caused by a fire in French cloud provider OVHcloud's data centre. Meanwhile, Google spokesperson said, ""Following extensive investigation, we have no evidence to indicate that the fire in OVHcloud's data centre, or Google's own infrastructure, was the root cause of this incident.""","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
S Korea to suspend defence exchanges with Myanmar amid violence,"South Korea's Foreign Ministry has said that it will suspend defence exchanges with Myanmar and ban arms exports to the country over violent suppression of anti-coup protesters. ""Despite repeated demands of the international community, including South Korea, there are an increasing number of victims in Myanmar due to violent acts of the military and police authorities,"" it added. ","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
US man jailed for 212 yrs for drowning sons to get insurance money,A US man was jailed for 212 years for drowning his two sons with autism and trying to kill his ex-wife to get insurance money in 2015. Prosecutors said Ali Elmezayen had intentionally driven them off a Port of Los Angeles wharf. Elmezayen had bought over $3 million of life and accidental death insurance policies on himself and his family.,"['https:', '', 'inshorts.com', 'en', 'read', 'world']"
UK tells its citizens to flee Myanmar as 'levels of violence rising',"The UK has urged its citizens to flee Myanmar if they could, warning that ""political tension and unrest are widespread and levels of violence are rising"". Britons are advised to leave Myanmar by commercial means and anyone who cannot leave is advised to stay indoors. Around nine protesters were killed on Thursday in Myanmar's continued protests over the military coup.","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
US issues notification to delay mandatory minimum pay for H-1B visa,US President Joe Biden's administration on Friday issued a formal notification to delay the implementation of a rule to raise mandatory minimum pay for foreign workers on the H-1B visa. The Labour Department is considering whether to propose a further delay of the final rule's effective date and implementation periods. The rule is a carry-over from ex-President Donald Trump's administration.,"['https:', '', 'inshorts.com', 'en', 'read', 'world']"
NY Governor faces impeachment probe over sexual harassment claims,"New York State Assembly Speaker Carl Heastie has authorised the Assembly Judiciary Committee to begin an impeachment investigation into sexual harassment allegations made by six women against Governor Andrew Cuomo. The 63-year-old has denied all allegations by women, most of whom are his ex-aides. The last time a New York Governor was impeached by the State Assembly was in 1913. ","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
65 media workers killed worldwide in 2020 while doing jobs: IFJ,"Sixty-five journalists and media workers were killed globally in 2020 while doing jobs, the International Federation of Journalists' report said. The killings took place in 16 nations during targeted attacks, bomb attacks and crossfire incidents. The report's 2020 ranking per country has Mexico at the top of the list with 14 killings, followed by Afghanistan (10), Pakistan (9), India (8).","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
UK economy shrinks 2.9% in January over COVID curbs ,"The UK economy shrank 2.9% in January, as per the Office for National Statistics (ONS). ""The economy took a notable hit in January with retail, restaurants, schools and hairdressers all affected by the latest lockdown,"" said ONS statistician Jonathan Athow. Exports and imports from the UK to the EU plunged by the most on record, ONS data showed.","['https:', '', 'inshorts.com', 'en', 'read', 'world']"
